ICD-O Code	Level	Term Type	Term Type Desc	ICD-O string	NCIm CUI	NCIt Code (if present)	NCIt PT string (Preferred term)
M	1 (Axis name)	HT	Hierarchical term	MORPHOLOGY	C0332437		
800	2	HT	Hierarchical term	Neoplasms, NOS	C0375111	C3262	Neoplasm
8000/0	4	PT	Preferred term	Neoplasm, benign	C0086692	C3677	Benign Neoplasm
8000/0	Synonym	SY	Synonym	Tumor, benign	C0086692	C3677	Benign Neoplasm
8000/0	Synonym	SY	Synonym	Unclassified tumor, benign	C0086692	C3677	Benign Neoplasm
8000/1	4	PT	Preferred term	Neoplasm, uncertain whether benign or malignant	C0677041	C65157	Neoplasm, Uncertain Whether Benign or Malignant
8000/1	Synonym	SY	Synonym	Neoplasm, NOS	C0375111	C3262	Neoplasm
8000/1	Synonym	SY	Synonym	Tumor, NOS	C0375111	C3262	Neoplasm
8000/1	Synonym	SY	Synonym	Unclassified tumor, borderline malignancy	C0677041	C65157	Neoplasm, Uncertain Whether Benign or Malignant
8000/1	Synonym	SY	Synonym	Unclassified tumor, uncertain whether benign or malignant	C0677041	C65157	Neoplasm, Uncertain Whether Benign or Malignant
8000/3	4	PT	Preferred term	Neoplasm, malignant	C0006826	C9305	Malignant Neoplasm
8000/3	Synonym	SY	Synonym	Blastoma, NOS	C0936282	C8997	Blastoma
8000/3	Synonym	SY	Synonym	Cancer	C0006826	C9305	Malignant Neoplasm
8000/3	Synonym	SY	Synonym	Malignancy	C0006826	C9305	Malignant Neoplasm
8000/3	Synonym	SY	Synonym	Tumor, malignant, NOS	C0006826	C9305	Malignant Neoplasm
8000/3	Synonym	SY	Synonym	Unclassified tumor, malignant	C0006826	C9305	Malignant Neoplasm
8000/6	4	PT	Preferred term	Neoplasm, metastatic	C2939420	C3261	Metastatic Neoplasm
8000/6	Synonym	SY	Synonym	Neoplasm, secondary	C2939419	C36255	Secondary Neoplasm
8000/6	Synonym	SY	Synonym	Tumor embolus	C0013930	C3005	Tumor Embolism
8000/6	Synonym	SY	Synonym	Tumor, metastatic	C2939420	C3261	Metastatic Neoplasm
8000/6	Synonym	SY	Synonym	Tumor, secondary	C2939419	C36255	Secondary Neoplasm
8000/9	4	PT	Preferred term	Neoplasm, malignant, uncertain whether primary or metastatic	C0334224	C65153	Malignant Neoplasm, Uncertain Whether Primary or Metastatic
8000/9	Synonym	SY	Synonym	Unclassified tumor, malignant, uncertain whether primary or metastatic	C0334224	C65153	Malignant Neoplasm, Uncertain Whether Primary or Metastatic
